"STATE","Total.Seats","Total.Senate","Senate.Dem","Senate.Rep","Senate.other","Total.House","House.Dem","House.Rep","House.other","Legis.Control","Gov.Party","State.Control","Year"
"New Hampshire",424,24,11,13,"0","400","220","179","1v","Split","Dem","Divided","2014"
"New Jersey",120,40,24,16,"0","80","48","32","0","Dem","Rep","Divided","2014"
"New Mexico",112,42,25,17,"0","70","37","33","0","Dem","Rep","Divided","2014"
"New York",213,63,32,29,"2v","150","100","40","10v","Dem","Dem","Dem","2014"
"North Carolina",170,50,17,33,"0","120","43","77","0","Rep","Rep","Rep","2014"
"North Dakota",141,47,14,33,"0","94","23","71","0","Rep","Rep","Rep","2014"
"Ohio",132,33,10,23,"0","99","39","60","0","Rep","Rep","Rep","2014"
"Oklahoma",149,48,12,36,"0","101","29","72","0","Rep","Rep","Rep","2014"
"Oregon",90,30,16,14,"0","60","34","26","0","Dem","Dem","Dem","2014"
"Pennsylvania",253,50,23,27,"0","203","92","111","0","Rep","Rep","Rep","2014"
"Rhode Island",113,38,32,5,"1","75","69","6","0","Dem","Dem","Dem","2014"
"South Carolina",170,46,18,28,"0","124","46","78","0","Rep","Rep","Rep","2014"
"South Dakota",105,35,7,28,"0","70","17","53","0","Rep","Rep","Rep","2014"
"Tennessee",132,33,7,26,"0","99","27","71","1","Rep","Rep","Rep","2014"
"Texas",181,31,12,19,"0","150","55","95","0","Rep","Rep","Rep","2014"
"Utah",104,29,5,24,"0","75","14","61","0","Rep","Rep","Rep","2014"
"Vermont",180,30,21,7,"2","150","93","47","10","Dem","Dem","Dem","2014"
"Virginia",140,40,19,20,"1v","100","33","67","0","Rep","Dem","Divided","2014"
"Washington",147,49,25,24,"0","98","55","43","0","Dem","Dem","Dem","2014"
"West Virginia",134,34,24,10,"0","100","53","47","0","Dem","Dem","Dem","2014"
"Wisconsin",132,33,15,18,"0","99","39","60","0","Rep","Rep","Rep","2014"
"Wyoming",90,30,4,26,"0","60","8","52","0","Rep","Rep","Rep","2014"
"Alabama",140,35,8,26,"1","105","33","72","","Rep","Rep","Rep","2015"
"Alaska",60,20,6,14,"","40","16","23","1","Rep","Ind","Divided","2015"
"Arizona",90,30,13,17,"","60","22","38","","Rep","Rep","Rep","2015"
"Arkansas",135,35,11,24,"","100","36","64","","Rep","Rep","Rep","2015"
"California",120,40,25,14,"1v","80","52","28","","Dem","Dem","Dem","2015"
"Colorado",100,35,17,18,"","65","33","32","","Split","Dem","Divided","2015"
"Connecticut",187,36,21,15,"","151","87","64","","Dem","Dem","Dem","2015"
"Delaware",62,21,12,9,"","41","25","16","","Dem","Dem","Dem","2015"
"Florida",160,40,14,26,"","120","37","82","1v","Rep","Rep","Rep","2015"
"Georgia",236,56,18,38,"","180","59","120","1","Rep","Rep","Rep","2015"
"Hawaii",76,25,24,1,"","51","43","8","","Dem","Dem","Dem","2015"
"Idaho",105,35,7,28,"","70","14","56","","Rep","Rep","Rep","2015"
"Illinois",177,59,39,20,"","118","71","47","","Dem","Rep","Divided","2015"
"Indiana",150,50,10,40,"","100","30","70","","Rep","Rep","Rep","2015"
"Iowa",150,50,26,24,"","100","43","57","","Split","Rep","Divided","2015"
"Kansas",165,40,8,32,"","125","27","98","","Rep","Rep","Rep","2015"
"Kentucky",138,38,12,26,"","100","54","46","","Split","Dem","Divided","2015"
"Louisiana",144,39,13,26,"","105","44","59","2","Rep","Rep","Rep","2015"
"Maine",186,35,15,20,"","151","79","68","4","Split","Rep","Divided","2015"
"Maryland",188,47,32,14,"1u","141","90","51","","Dem","Rep","Divided","2015"
"Massachusetts",200,40,34,6,"","160","125","35","","Dem","Rep","Divided","2015"
"Michigan",148,38,11,27,"","110","47","63","","Rep","Rep","Rep","2015"
"Minnesota",201,67,39,28,"","134","62","72","","Split","Dem","Divided","2015"
"Mississippi",174,52,20,31,"1v","122","56","66","","Rep","Rep","Rep","2015"
"Missouri",197,34,9,25,"","163","45","117","1u","Rep","Dem","Divided","2015"
"Montana",150,50,21,29,"","100","41","59","","Rep","Dem","Divided","2015"
"Nebraska",49,49,NA,NA,"49","Unicameral",NA,NA,"","N/A","Rep","N/A","2015"
"Nevada",63,21,10,11,"","42","15","27","","Rep","Rep","Rep","2015"
"New Hampshire",424,24,10,14,"","400","160","239","1","Rep","Dem","Divided","2015"
"New Jersey",120,40,24,16,"","80","48","32","","Dem","Rep","Divided","2015"
"New Mexico",112,42,25,17,"","70","33","37","","Split","Rep","Divided","2015"
"New York",213,63,31,32,"","150","106","44","","Split","Dem","Divided","2015"
"North Carolina",170,50,16,34,"","120","46","74","","Rep","Rep","Rep","2015"
"North Dakota",141,47,16,31,"","94","23","71","","Rep","Rep","Rep","2015"
"Ohio",132,33,10,23,"","99","34","65","","Rep","Rep","Rep","2015"
"Oklahoma",149,48,8,40,"","101","29","72","","Rep","Rep","Rep","2015"
"Oregon",90,30,18,12,"","60","35","25","","Dem","Dem","Dem","2015"
"Pennsylvania",253,50,20,30,"","203","84","119","","Rep","Dem","Divided","2015"
"Rhode Island",113,38,32,5,"1","75","63","11","1","Dem","Dem","Dem","2015"
"South Carolina",170,46,18,28,"","124","46","78","","Rep","Rep","Rep","2015"
"South Dakota",105,35,8,27,"","70","12","58","","Rep","Rep","Rep","2015"
"Tennessee",132,33,5,28,"","99","26","73","","Rep","Rep","Rep","2015"
"Texas",181,31,11,20,"","150","52","98","","Rep","Rep","Rep","2015"
"Utah",104,29,4,23,"2v","75","12","63","","Rep","Rep","Rep","2015"
"Vermont",180,30,20,9,"1","150","84","54","12","Dem","Dem","Dem","2015"
"Virginia",140,40,19,21,"","100","32","67","1v","Rep","Dem","Divided","2015"
"Washington",147,49,24,25,"","98","50","43","5u","Split","Dem","Divided","2015"
"West Virginia",134,34,16,18,"","100","36","64","","Rep","Dem","Divided","2015"
"Wisconsin",132,33,14,19,"","99","36","63","","Rep","Rep","Rep","2015"
"Wyoming",90,30,4,26,"","60","9","51","","Rep","Rep","Rep","2015"
"Alabama",140,35,8,26,"1","105","33","72","","Rep","Rep","Rep","2016"
"Alaska",60,20,6,14,"","40","16","23","1","Rep","Ind","Divided","2016"
"Arizona",90,30,13,17,"","60","24","36","","Rep","Rep","Rep","2016"
"Arkansas",135,35,11,24,"","100","36","64","","Rep","Rep","Rep","2016"
"California",120,40,25,14,"1v","80","52","28","","Dem","Dem","Dem","2016"
"Colorado",100,35,17,18,"","65","34","31","","Split","Dem","Divided","2016"
"Connecticut",187,36,20,15,"1","151","87","64","","Dem","Dem","Dem","2016"
"Delaware",62,21,12,9,"","41","25","16","","Dem","Dem","Dem","2016"
"Florida",160,40,14,26,"","120","39","81","","Rep","Rep","Rep","2016"
"Georgia",236,56,17,39,"","180","61","118","1","Rep","Rep","Rep","2016"
"Hawaii",76,25,24,1,"","51","44","7","","Dem","Dem","Dem","2016"
"Idaho",105,35,7,28,"","70","14","56","","Rep","Rep","Rep","2016"
"Illinois",177,59,39,20,"","118","71","47","","Dem","Rep","Divided","2016"
"Indiana",150,50,10,40,"","100","30","70","","Rep","Rep","Rep","2016"
"Iowa",150,50,26,24,"","100","43","57","","Split","Rep","Divided","2016"
"Kansas",165,40,8,32,"","125","28","97","","Rep","Rep","Rep","2016"
"Kentucky",138,38,11,27,"","100","52","44","4v","Split","Rep","Divided","2016"
"Louisiana",144,39,14,25,"","105","42","61","2","Rep","Rep","Rep","2016"
"Maine",186,35,15,20,"","151","77","70","4","Split","Rep","Divided","2016"
"Maryland",188,47,33,14,"","141","91","50","","Dem","Rep","Divided","2016"
"Massachusetts",200,40,33,5,"2v","160","123","34","3v","Dem","Rep","Divided","2016"
"Michigan",148,38,11,27,"","110","46","61","3v","Rep","Rep","Rep","2016"
"Minnesota",201,67,39,27,"1v","134","61","72","1v","Split","Dem","Divided","2016"
"Mississippi",174,52,20,32,"","122","49","73","","Rep","Rep","Rep","2016"
"Missouri",197,34,9,25,"","163","45","117","1","Rep","Dem","Divided","2016"
"Montana",150,50,21,29,"","100","41","59","","Rep","Dem","Divided","2016"
"Nebraska",49,49,NA,NA,"49","Unicameral","Unicameral","Unicameral","Unicameral","N/A","Rep","N/A","2016"
"Nevada",63,21,10,11,"","42","17","25","","Rep","Rep","Rep","2016"
"New Hampshire",424,24,10,14,"","400","160","239","1","Rep","Dem","Divided","2016"
"New Jersey",120,40,24,16,"","80","51","29","","Dem","Rep","Divided","2016"
"New Mexico",112,42,25,17,"","70","33","37","","Split","Rep","Divided","2016"
"New York",213,63,31,32,"","150","104","44","2v","Split","Dem","Divided","2016"
"North Carolina",170,50,16,34,"","120","45","74","1","Rep","Rep","Rep","2016"
"North Dakota",141,47,15,32,"","94","23","71","","Rep","Rep","Rep","2016"
"Ohio",132,33,10,23,"","99","34","65","","Rep","Rep","Rep","2016"
"Oklahoma",149,48,9,39,"","101","30","71","","Rep","Rep","Rep","2016"
"Oregon",90,30,18,12,"","60","35","25","","Dem","Dem","Dem","2016"
"Pennsylvania",253,50,19,30,"1v","203","82","118","3v","Rep","Dem","Divided","2016"
"Rhode Island",113,38,32,5,"1","75","63","11","1","Dem","Dem","Dem","2016"
"South Carolina",170,46,17,28,"1v","124","46","78","","Rep","Rep","Rep","2016"
"South Dakota",105,35,8,27,"","70","12","58","","Rep","Rep","Rep","2016"
"Tennessee",132,33,5,28,"","99","26","73","","Rep","Rep","Rep","2016"
"Texas",181,31,11,20,"","150","51","99","","Rep","Rep","Rep","2016"
"Utah",104,29,5,24,"","75","12","63","","Rep","Rep","Rep","2016"
"Vermont",180,30,21,9,"","150","85","53","12","Dem","Dem","Dem","2016"
"Virginia",140,40,19,21,"","100","34","66","","Rep","Dem","Divided","2016"
"Washington",147,49,24,25,"","98","50","48","","Split","Dem","Divided","2016"
"West Virginia",134,34,16,18,"","100","36","64","","Rep","Dem","Divided","2016"
"Wisconsin",132,33,14,19,"","99","36","63","","Rep","Rep","Rep","2016"
"Wyoming",90,30,4,26,"","60","9","51","","Rep","Rep","Rep","2016"
