"NAME","desktop-laptop","desktop-laptop.only","handheld","handheld-alone.only","other computer","other.computer.only","no.computer","total.internet","dial-up","broadband","DSL","DSL-mobile.broadband","mobile.broadband","mobile.broadband.dial-up","DSL-cable.modem","DSL-fiber","DSL-satellite","no.internet"
"Hawaii",89069.5077320512,82397.4740769976,10120.0620716874,78454.083097126,6121.95471995981,5263.31132718596,118.178393312045,10930.4922679488,82656.2556061856,482.580459976319,82173.6751462093,8635.31986652793,47070.4316314449,4898.23651824477,57350.1578701876,2464.70345520433,1165.6381184744,17343.7443938144
"Idaho",89153.0428290937,81588.0258645076,14326.0782597197,74240.6108924862,7205.80629070622,3943.617649865,156.506048498463,10846.9571709063,77594.1923702046,943.053558545816,76651.1388116588,21958.2170697046,38719.9311708159,8473.08681817345,31180.356900745,1835.05434191299,7163.95975367454,22405.8076297954
"Illinois",86275.0267336292,77877.2987427529,10773.6890614562,74784.4988959277,7585.36354919978,7283.62341780402,227.676454988327,13724.9732663708,77500.5980782656,560.764856065974,76939.8332221996,13204.1706755813,42058.5739186151,6684.54400990463,43777.8481821862,2760.19115978795,2722.46060765586,22499.4019217344
"Indiana",85043.9915344774,75835.688070221,12888.0544764254,71495.1793993423,8578.87603209837,5403.50986007555,235.573086699245,14956.0084655226,74037.0229446199,760.076067245481,73276.9468773744,14234.9759039546,34479.4709485703,7130.8470333496,35401.0090082353,6036.95296847933,3683.64741090268,25962.9770553801
"Iowa",85660.9225583665,77776.1297062575,13036.8515027873,71634.4531043921,7220.85165031201,4858.37230577054,345.239803760115,14339.0774416335,76004.7913447916,999.239125467329,75005.5522193243,18604.3845294725,35952.4842272874,7223.33712033443,32063.0443480011,5026.34197341509,4515.0567368665,23995.2086552084
"Kansas",86028.2912101851,77303.1589212492,12175.7099341299,73494.0832075366,8291.24616987321,3721.18296266042,131.254374396131,13971.7087898149,76800.2720447075,579.804278946582,76220.4677657609,12125.2413227274,38841.8488244682,6999.21373321986,38784.3631868814,6977.17307405122,3724.4215901301,23199.7279552926
"Kentucky",82141.4919751446,71932.7012273857,12268.4375888608,69267.3444557875,9601.68235277665,4856.57581309056,192.988099067224,17858.5080248554,71580.9291398045,726.036145645415,70854.8929941591,16309.9999533845,35459.4655068735,6059.37180975289,33452.7855081787,3904.5128448963,3439.63994201034,28419.0708601955
"Louisiana",80814.0016617681,68993.3529277729,9438.12906091692,70733.4910708737,11337.9419393892,6173.80206547182,131.825159904897,19185.9983382319,69274.5530833623,591.228074213365,68683.3250091489,12351.1716385447,30946.1145238989,6689.30691382973,33541.188601468,4224.50440414567,3687.65205062639,30725.4469166377
"Maine",86858.2936250289,81267.7678614006,18166.4117265134,67878.8245608243,4927.68136515867,5318.71187360838,264.477482731931,13141.7063749711,78068.9108736561,926.588240472758,77142.3226331833,17040.823438354,31543.0665448823,4143.05260570846,46615.7153180516,1083.58735643568,2152.31848811319,21931.0891263439
"Maryland",89901.3468727702,83061.2865219975,10100.030579439,79119.98251554,6215.79900952003,8610.91291104322,140.77561579001,10098.6531272298,81940.7291497355,532.98217485011,81407.7469748854,6778.07500135449,41129.6669228728,4558.95357710564,38101.521901031,20128.4336439947,1572.91267779464,18059.2708502645
"Massachusetts",88975.1796030471,83037.292510677,11667.6452010214,76617.3258785031,5295.33573103548,7017.55619541155,210.785284562087,11024.8203969529,83063.1133174033,452.93835702324,82610.1749603801,6414.10714501957,41826.581836918,3537.60677450467,52747.1033625253,11090.7200958143,797.046505968278,16936.8866825967
"Michigan",86204.9090172117,77291.000826221,12387.6386148929,73196.801270535,8310.75134273864,4945.35227386996,240.557807995372,13795.0909827883,75031.566409194,594.578456262641,74436.9879529313,9891.74121142445,35571.1187570817,6200.23366399449,46196.4809414565,2330.03121394354,3453.87831434338,24968.433590806
"Minnesota",89249.2392637694,82629.506785851,11687.4885319071,76927.6408747512,6021.52881204064,5298.9807485067,221.584510879436,10750.7607362306,80390.7487768144,865.939973789878,79524.8088030245,17909.4120791967,41184.7273411442,6185.3653629599,41413.8097726314,3307.14183923527,3458.21795384075,19609.2512231856
"Mississippi",78317.6124689982,63589.3191690111,9502.42264601298,68425.4657175895,14056.0554378918,4622.35969615283,157.827396771556,21682.3875310018,61534.9370818321,563.035429217174,60971.9016526149,15827.5615712473,28653.7766746863,9449.36076735083,20139.4277828737,2964.22126260106,5232.02800508163,38465.0629181679
"Missouri",85291.3005753565,75650.3297980777,12335.2905002991,72322.3597199875,8950.87988273846,5901.53231852682,205.165572955715,14708.6994246435,74014.7756277957,738.82350959068,73275.952118205,17583.9237126081,36407.7702617325,7491.76557801009,30234.4388378303,6971.03842168665,4215.39226174932,25985.2243722043
"Montana",86069.3243073837,79090.1244925314,16736.5792036721,68700.8804158108,6635.90515038428,3643.16641112429,244.693879519002,13930.6756926163,76039.5271019566,1089.18911100182,74950.3379909548,21349.8423351752,32511.4994069488,6376.26445260894,29896.0472898043,3235.5039970685,5683.40710311376,23960.4728980434
"Nebraska",86726.8957306167,78859.356669744,12897.5124939697,73241.8743843721,7217.81232236659,6056.63574585539,202.913624642046,13273.1042693833,78714.0920152817,594.630986119902,78119.4610291618,13585.1343597269,36601.1833492573,6853.10531754638,42878.2021046577,3814.77614327046,3792.33470266435,21285.9079847183
"Nevada",89748.7200894378,79919.9666047703,10996.7228531809,77479.619793391,8895.51035683954,8174.34613003987,170.238900644394,10251.2799105622,79528.6282525562,502.943674338933,79025.6845782173,11386.1419393224,38427.9291598893,6056.62794547365,46661.5806115741,2558.66956475844,2943.96222884369,20471.3717474438
"New Hampshire",91130.2802275823,86083.8654212108,17897.8584469152,72496.5466611285,4448.09366034601,7065.86942032205,217.536199685094,8869.71977241772,84927.7938235948,467.722148701255,84460.0716748935,11391.8646097969,37049.3513518735,3322.73987423085,59829.0235020237,2793.19571496189,1757.29065038687,15072.2061764052
"New Jersey",88067.9606381881,81269.0109640545,10348.1753081827,77096.1582678343,5943.13673025691,6766.98568960807,316.189366062279,11932.0393618119,81956.1268433793,389.966884810144,81566.1599585691,5017.68684266411,37306.6751402071,2862.39206665824,49429.2750574583,15799.2423375052,955.343584602456,18043.8731566207
"New Mexico",80840.5651374316,71088.3608100321,11878.0987585932,68070.3652022783,9233.03714769158,5166.33696378432,222.500219874849,19159.4348625684,68145.8446278996,926.362272363897,67219.4823555357,19301.3361827363,32550.5351163105,8132.74402498303,26303.3327776297,1659.62848370366,4203.74456712221,31854.1553721004
"New York",86621.1924363956,79527.292694438,11909.2817583934,73969.869336469,6256.69263864355,8670.95013972114,268.645591035507,13378.8075636044,78241.2554360193,398.758919025328,77842.4965169939,5379.76862167518,33002.6954416374,3125.92708511032,47961.7329679691,11421.8268010784,1222.66714627409,21758.7445639807
"North Carolina",85078.7188015854,75720.7358968922,11287.0390725712,73136.71952744,8642.48278696948,6607.95656319553,201.314083010189,14921.2811984146,74611.5572182858,496.026661498096,74115.5305567877,14122.6850376391,36755.5860235265,5938.08902515646,42576.2114812507,2713.16125289269,2267.08587588407,25388.4427817142
"North Dakota",86155.8337985485,79276.8163330409,12719.9936199059,73049.2064757955,6392.85429460085,4479.78307680038,168.434484408645,13844.1662014515,76870.882845522,534.97089082064,76335.9119547013,10956.2166041949,37543.6637690406,5256.55953425313,36071.7760586969,9060.05263577638,2641.67796474998,23129.117154478
"Ohio",85529.9344101088,76347.284526408,12663.7440832882,72304.8936809898,8486.37460369834,5384.60119110287,230.536039707771,14470.0655898911,76607.6469802926,535.377622157509,76072.2693581351,11964.9072917334,36844.1092289308,6732.82457661796,43449.661413759,4328.433538001,2543.97171049275,23392.3530197074
"Oklahoma",83926.6796775608,71721.0875397609,10144.4045537675,73241.3975637658,11045.4578631892,8387.86562443083,169.173458048734,16073.3203224392,71182.2564328548,405.334148276443,70776.9222845784,14137.5803147581,39094.4854227733,9888.87077398903,31541.2998115217,3391.04103752445,5643.64020352658,28817.7435671451
"Oregon",90677.9851983479,83933.7370147534,13305.5842596438,76812.8482717993,6293.76032139994,4900.38340077453,199.973602969344,9322.01480165207,81535.4702051564,727.141620069469,80808.328585087,14066.8488705612,44482.6664863943,6763.04802006174,43464.5780820948,5414.54605155147,4005.91035954687,18464.5297948436
"Pennsylvania",84559.3767762428,77353.720321297,13944.1654693054,69942.7788775588,6689.63932270885,5565.0512697948,174.1915970361,15440.6232237572,76455.7044267426,789.54212811567,75666.1622986269,11618.1941337403,35081.6186400545,4218.65292773238,41689.3780252246,9916.22943896504,1573.91883878187,23544.2955732574
"Rhode Island",86515.7895770141,78314.7313759559,12729.3341579056,73288.2763495008,7528.39375288355,5516.04480175909,140.128201352691,13484.2104229859,78791.8053224176,592.906715355695,78198.8986070619,3594.25155343523,37786.7597255352,4755.0333264619,42627.6859950329,18327.3453681617,919.790715709083,21208.1946775824
"South Carolina",83429.0395786772,73022.1427002726,10600.946942783,72060.4510358667,9386.58648442647,9010.43617932917,216.71166690351,16570.9604213228,70434.7905658834,513.842417352436,69920.9481485309,12403.0018818281,34049.8383005844,5968.39863750479,36454.0674615991,3600.55722781316,2516.83740919211,29565.2094341166
"South Dakota",85004.2865097205,77128.8928431491,14869.9169507155,69449.7064256401,7266.14953584907,5303.78243974581,342.920777640623,14995.7134902795,75919.5373515557,638.999284108686,75280.538067447,11176.1534541019,35228.0393710762,6344.32899183059,38215.6335343525,6625.67722434502,3771.83394856778,24080.4626484443
"Tennessee",82400.8204690427,72182.7401136642,10855.6432935746,71053.5676175571,9527.16321642835,6524.78401429102,142.238347047339,17599.1795309573,70700.3628085651,521.527431963514,70178.8353766016,11888.5410985432,35327.1995763281,6758.08019729198,36036.4152300554,5480.10876352628,3107.15104376625,29299.6371914349
"Texas",86663.3366633367,75478.6755955477,8739.87890562476,77144.7103682548,10532.7524154553,7066.10643924711,160.665938396495,13336.6633366633,74737.3217517714,458.434468209224,74278.8872835622,12673.9707381441,38892.4505159099,9248.68798859449,32726.6974419546,7024.5840007846,3834.52077034737,25262.6782482286
"Utah",93211.1323551526,86192.6142344626,8750.77874927496,84088.1651592945,6734.73114352618,4705.041998754,80.5602698231971,6788.86764484737,83763.8832198329,662.63507271907,83101.2481471138,19024.2540119014,44781.0908934671,7195.64330060796,38306.0860598509,5112.89179144557,5285.07594148102,16236.1167801671
"Vermont",87048.0450434544,82343.9860318208,18571.0081808016,67458.4583995448,3910.30545582956,5883.89931924744,319.384772330449,12951.9549565456,79559.7669354364,882.82031663822,78676.9466187982,25351.4605771683,29515.2335550193,3454.37780785906,37916.5440527338,3240.14674435485,2566.06438702843,20440.2330645636
"Virginia",88248.6533983286,80995.2058244646,10351.8142711614,77233.8942899583,6761.21980305096,6318.94544231459,166.017840963406,11751.3466016714,79161.2848197316,552.030242412441,78609.2545773192,8715.03542926298,41575.5923518497,5794.33807708339,36435.9593742305,16308.1790662382,3056.33116020979,20838.7151802684
"Washington",91427.9368739631,85542.5894780898,11332.7735779838,79563.9332354311,5190.69858127307,6845.15312582804,177.675290344074,8572.06312603694,84415.8100223084,513.565149255673,83902.2448730527,12958.7516991482,47579.4856872072,6147.82892009853,50855.0440101841,4101.99763759298,2938.78888342001,15584.1899776916
"West Virginia",79598.413147892,70851.6669026433,15240.6417112299,63240.8758726598,8163.79319733818,6503.83371271115,211.562129017502,20401.586852108,70314.8654388621,551.640763692998,69763.2246751691,15966.4060032456,29629.9977128419,4724.07070586057,37764.3845910888,969.183266715314,3491.31969025344,29685.1345611379
"Wisconsin",86379.2272426664,78854.2804644718,14122.20881917,71660.1754314868,7050.75752154093,3982.34476003411,221.854524478582,13620.7727573336,77645.5914927886,739.673159051501,76905.9183337372,15522.7463400039,37798.8202823148,7191.56142300751,40481.0785596097,3640.63878237822,3257.15724424433,22354.4085072113
"Wyoming",89841.746856122,82335.3149556428,13277.015074016,75932.2433682629,7236.05183958906,4991.76629378388,184.330186907315,10158.253143878,78739.1291053871,908.546892813307,77830.5822125738,16602.3840619909,29497.1979190782,6427.09566387259,36781.7347130433,3350.70346863984,7886.88591184474,21260.8708946129
